Question,Answer,Keywords,Cluster,subtopic,topic ,Macro-topic
What do governing bodies lack in order to enhance the plausibility of social acceptance of STE systems?,Governing bodies lack certainty in order to enhance the plausibility of social acceptance of STE systems. They need to evidence both positive and negative social impacts experienced by the wider community in order to increase public understanding of the social sustainability of STE systems.,"STE, systems, order, social, bodies, enhance, plausibility, acceptance, governing, lack, ",5,STE systems,Solar energy impact,Solar energy
What framework has been established by GenoaÂ®t et al. for SLA?,"GenoaÂ®t et al. have established a comprehensive framework regarding SLA that draws on guidelines from the same governing LCA standards, ISO14,044.","Genoa, SLA, framework, established, LCA, standards, comprehensive, draws, guidelines, governing, ",5,Genoa,Solar energy impact,Solar energy
What is the persisting challenge that inhibits the application of SLA for SHIP systems?,The persisting challenge that inhibits the application of SLA for SHIP systems is rooted in the lack of a comprehensive social assessment methodology available for practitioners.,"SLA, SHIP, persisting, challenge, inhibits, application, systems, practitioners, rooted, lack, ",5,SHIP systems,Solar energy impact,Solar energy
How has the current literature been inadequate to provide evaluative and critical insight of the social impacts of emerging technologies?,The current literature has been inadequate to provide evaluative and critical insight of the social impacts of emerging technologies as research being conducted to develop assessment approaches that classify social data in preparation for deep critical evaluation is still in its infancy for sustainability assessments.,"critical, social, current, inadequate, provide, evaluative, insight, impacts, emerging, literature, ",5,provide evaluative,Solar energy impact,Solar energy
What terms were used to initially narrow down the search size?,"The search terms ""social life cycle"", OR ""SLA"" OR ""S-LCA"" OR asocial sustainability assessment were used to initially narrow down the search size.","size, search, initially, narrow, SLA, terms, social, cycle, life, sustainability, ",20,search size,Energy assessments,Solar energy
In what part of an article were these terms applied?,"These terms were applied to the title, abstract, and keywords of each article.","terms, abstract, article, applied, part, keywords, ",20,terms,Energy assessments,Solar energy
What are the renewable energy systems studied in SLA studies?,"The renewable energy systems studied in SLA studies included biomass for electrical generation, wind farms, hydropower dam projects, and solar energy systems such as solar thermal driven CSP electrical plants.","SLA, energy, systems, renewable, studied, CSP, electrical, generation, wind, farms, ",2,SLA studies,Renewable Solutions Integration,Solar energy
What is the first step involved in the application of SLA methodology?,The first step involved in the application of SLA methodology is to identify the associated project stakeholders involved in the production and development of the renewable energy systems.,"SLA, involved, step, application, methodology, systems, identify, project, stakeholders, production, ",5,SLA methodology,Solar energy impact,Solar energy
What categories of project stakeholders were addressed in SLA literature?,"The three categories of project stakeholders addressed in SLA literature were employees, value chain actors, and the local community.","SLA, project, categories, stakeholders, addressed, literature, employees, actors, community, chain, ",5,SLA literature,Solar energy impact,Solar energy
What was the mean number of quantifiable indicators assigned to the employee stakeholder category?,The mean number of quantifiable indicators assigned to the employee stakeholder category was observed to be the highest at 5.5 indicators per publication.,"indicators, number, quantifiable, assigned, employee, stakeholder, category, publication, observed, highest, ",5,employee stakeholder,Solar energy impact,Solar energy
What organizations and firms were identified by Corona et al. [19] to be members of the STE system's value chain?,"Corona et al. [19] identified material and part suppliers as members of the STE system's value chain, organizations and firms that add value to the STE product being developed by a core engineering company.","STE, Corona, chain, system, organizations, firms, members, identified, company, material, ",18,STE system,Renewable energy Integration,Solar energy
What survey method did Buchan et al. use to measure social acceptance of wind technology?,Buchan et al. used survey polls designed to collect public opinion across 200 participants to measure social acceptance of wind technology.,"technology, Buchan, measure, social, acceptance, wind, survey, method, participants, polls, ",3,wind technology,Sustainability analysis ,Solar energy
How did Bonilla-Alicea & Fu measure public engagement with carbon-reducing goals in the United States?,Bonilla-Alicea & Fu used questionnaires to measure public engagement with carbon-reducing goals in the United States.,"States, United, Bonilla-Alicea, public, engagement, carbon-reducing, goals, measure, questionnaires, ",0,United States,Sustainable technologies ,Solar energy
What risks does Shi et al. [28] discuss in their analysis?,"Shi et al. [28] discuss the impact on labour within a region such as the fairness of pay, working conditions, and health and safety implications.","Shi, discuss, risks, analysis, pay, working, conditions, implications, impact, labour, ",5,Shi,Solar energy impact,Solar energy
What were the results of These et al. [29] study?,These et al. [29] performed a supply chain assessment of lithium-ion batteries and found significantly higher social risk in China-based production as compared to supply chain activities occurring in Germany.,"study, results, supply, chain, Germany, China-based, performed, assessment, lithium-ion, batteries, ",5,study,Solar energy impact,Solar energy
What type of quantitative data were collected?,"Quantitative data collection mainly composed of dissecting HR records, scanning company reports and using national and/or governmental databases.","collected, quantitative, data, type, records, scanning, databases, composed, dissecting, company, ",5,quantitative data,Solar energy impact,Solar energy
What type of qualitative techniques were used less frequently by SLA practitioners?,Surveys and questionnaires were used less frequently by SLA practitioners to gain a subjective insight directly from the affected stakeholders regarding their satisfaction and/or agreement on numerous social issues.,"SLA, frequently, practitioners, type, qualitative, techniques, Surveys, issues, questionnaires, gain, ",5,SLA practitioners,Solar energy impact,Solar energy
